character	killed by	death	type
<2+> slave traders	Frufoo | Otto Suwen	Thrown off a precipice by Frufoo on orders from Otto Suwen	
<3+> undead	Aldebaran | Priscilla Barielle | Array Denkuts	Slain by Aldebaran on orders from Priscilla Barielle, on request from Array Denkuts	
<4+> undead	Priscilla Barielle | Array Denkuts	Slain by the Crimson Battlefront on orders from Priscilla Barielle, on request from Array Denkuts	
Charon Denkuts		Infected by a zombie parasite via contaminated drinking water	undead
Charon Denkuts	Aldebaran | Yae Tenzen | Priscilla Barielle | Array Denkuts	Put down by Aldebaran, Yae Tenzen and Priscilla Barielle, on request from Array Denkuts	
Edda Rayfast		Infected by a zombie parasite via contaminated drinking water	undead
Edda Rayfast	Aldebaran | Priscilla Barielle | Array Denkuts	Slain by Aldebaran on orders from Priscilla Barielle, on request from Array Denkuts	
Riddle Denkuts		Infected by a zombie parasite via contaminated drinking water	undead
Riddle Denkuts	Aldebaran | Yae Tenzen | Priscilla Barielle | Array Denkuts	Put down by Aldebaran, Yae Tenzen and Priscilla Barielle, on request from Array Denkuts	
